angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.23,,,"[378, 162, 240, 289]",,,0.01,,,0.06,,,0.19,,,0.03,,,0.26,,,0.2,,
0.23,,,"[383, 154, 238, 292]",,,0.04,,,0.11,,,0.06,,,0.05,,,0.49,,,0.02,,
0.2,,,"[385, 156, 237, 291]",,,0.06,,,0.13,,,0.01,,,0.04,,,0.54,,,0.0,,
0.2,,,"[384, 156, 238, 294]",,,0.09,,,0.11,,,0.0,,,0.05,,,0.54,,,0.0,,
0.19,,,"[386, 157, 238, 294]",,,0.04,,,0.1,,,0.01,,,0.06,,,0.59,,,0.0,,
0.29,,,"[386, 167, 238, 296]",,,0.0,,,0.07,,,0.02,,,0.17,,,0.45,,,0.0,,
0.27,,,"[385, 168, 240, 297]",,,0.0,,,0.05,,,0.03,,,0.22,,,0.44,,,0.0,,
0.31,,,"[385, 168, 240, 297]",,,0.0,,,0.04,,,0.02,,,0.24,,,0.39,,,0.0,,
0.32,,,"[386, 169, 240, 296]",,,0.0,,,0.04,,,0.02,,,0.26,,,0.36,,,0.0,,
0.3,,,"[386, 169, 240, 295]",,,0.0,,,0.04,,,0.01,,,0.24,,,0.4,,,0.0,,
0.29,,,"[387, 169, 239, 296]",,,0.0,,,0.04,,,0.02,,,0.22,,,0.43,,,0.0,,
0.28,,,"[388, 169, 239, 295]",,,0.0,,,0.04,,,0.01,,,0.2,,,0.46,,,0.0,,
0.29,,,"[388, 169, 239, 294]",,,0.0,,,0.04,,,0.01,,,0.15,,,0.51,,,0.0,,
0.24,,,"[389, 153, 245, 309]",,,0.0,,,0.03,,,0.02,,,0.14,,,0.57,,,0.0,,
0.27,,,"[391, 154, 243, 306]",,,0.0,,,0.04,,,0.02,,,0.12,,,0.54,,,0.0,,
0.24,,,"[391, 154, 243, 305]",,,0.0,,,0.05,,,0.03,,,0.15,,,0.54,,,0.0,,
0.28,,,"[392, 154, 242, 305]",,,0.0,,,0.05,,,0.04,,,0.14,,,0.49,,,0.0,,
0.26,,,"[391, 154, 242, 304]",,,0.0,,,0.05,,,0.03,,,0.13,,,0.52,,,0.0,,
0.28,,,"[390, 154, 243, 305]",,,0.0,,,0.05,,,0.03,,,0.13,,,0.51,,,0.0,,
0.32,,,"[387, 168, 236, 291]",,,0.0,,,0.03,,,0.03,,,0.16,,,0.47,,,0.0,,
0.33,,,"[385, 167, 238, 295]",,,0.0,,,0.03,,,0.02,,,0.14,,,0.47,,,0.0,,
0.36,,,"[384, 167, 239, 296]",,,0.0,,,0.04,,,0.02,,,0.08,,,0.5,,,0.0,,
0.27,,,"[382, 166, 239, 298]",,,0.0,,,0.05,,,0.01,,,0.06,,,0.61,,,0.0,,
0.29,,,"[380, 166, 240, 296]",,,0.0,,,0.05,,,0.01,,,0.08,,,0.57,,,0.0,,
0.26,,,"[378, 165, 242, 299]",,,0.0,,,0.06,,,0.01,,,0.07,,,0.59,,,0.0,,
0.27,,,"[379, 166, 240, 298]",,,0.0,,,0.05,,,0.01,,,0.1,,,0.57,,,0.0,,
0.21,,,"[379, 167, 240, 295]",,,0.0,,,0.04,,,0.02,,,0.13,,,0.59,,,0.0,,
0.16,,,"[381, 168, 235, 287]",,,0.0,,,0.04,,,0.02,,,0.22,,,0.56,,,0.0,,
0.15,,,"[373, 150, 245, 303]",,,0.0,,,0.05,,,0.03,,,0.25,,,0.51,,,0.0,,
0.14,,,"[375, 151, 243, 301]",,,0.0,,,0.05,,,0.03,,,0.34,,,0.44,,,0.0,,
0.14,,,"[375, 153, 242, 300]",,,0.0,,,0.04,,,0.05,,,0.37,,,0.4,,,0.0,,
0.19,,,"[387, 164, 231, 289]",,,0.0,,,0.03,,,0.09,,,0.37,,,0.32,,,0.0,,
0.14,,,"[375, 152, 244, 303]",,,0.0,,,0.03,,,0.06,,,0.48,,,0.28,,,0.0,,
0.19,,,"[377, 156, 240, 298]",,,0.0,,,0.03,,,0.05,,,0.43,,,0.3,,,0.0,,
0.19,,,"[380, 162, 236, 292]",,,0.0,,,0.04,,,0.05,,,0.4,,,0.32,,,0.0,,
0.17,,,"[378, 159, 240, 299]",,,0.0,,,0.04,,,0.03,,,0.25,,,0.5,,,0.0,,
0.18,,,"[376, 158, 241, 299]",,,0.0,,,0.04,,,0.02,,,0.24,,,0.51,,,0.0,,
0.27,,,"[379, 155, 240, 303]",,,0.0,,,0.06,,,0.03,,,0.2,,,0.44,,,0.0,,
0.19,,,"[376, 154, 238, 299]",,,0.0,,,0.06,,,0.02,,,0.2,,,0.52,,,0.0,,
0.19,,,"[375, 153, 238, 299]",,,0.0,,,0.06,,,0.01,,,0.21,,,0.53,,,0.0,,
0.16,,,"[371, 151, 242, 302]",,,0.0,,,0.07,,,0.02,,,0.19,,,0.56,,,0.0,,
0.17,,,"[374, 152, 241, 303]",,,0.0,,,0.05,,,0.01,,,0.22,,,0.54,,,0.0,,
0.2,,,"[378, 155, 238, 300]",,,0.0,,,0.07,,,0.02,,,0.24,,,0.47,,,0.0,,
0.2,,,"[379, 156, 240, 302]",,,0.0,,,0.08,,,0.02,,,0.29,,,0.4,,,0.0,,
0.24,,,"[381, 156, 239, 302]",,,0.0,,,0.07,,,0.02,,,0.22,,,0.45,,,0.0,,
0.2,,,"[378, 156, 240, 302]",,,0.0,,,0.08,,,0.01,,,0.23,,,0.48,,,0.0,,
0.12,,,"[380, 168, 230, 293]",,,0.0,,,0.04,,,0.01,,,0.36,,,0.48,,,0.0,,
0.17,,,"[383, 171, 229, 290]",,,0.0,,,0.04,,,0.01,,,0.35,,,0.44,,,0.0,,
0.18,,,"[382, 171, 231, 292]",,,0.0,,,0.03,,,0.01,,,0.33,,,0.45,,,0.0,,
0.15,,,"[382, 172, 230, 289]",,,0.0,,,0.04,,,0.01,,,0.37,,,0.43,,,0.0,,
0.17,,,"[383, 170, 230, 291]",,,0.0,,,0.05,,,0.01,,,0.42,,,0.35,,,0.0,,
0.15,,,"[382, 171, 230, 289]",,,0.0,,,0.05,,,0.01,,,0.4,,,0.39,,,0.0,,
0.15,,,"[383, 172, 230, 288]",,,0.0,,,0.06,,,0.01,,,0.41,,,0.37,,,0.0,,
0.19,,,"[383, 173, 229, 288]",,,0.0,,,0.05,,,0.01,,,0.35,,,0.4,,,0.0,,
0.18,,,"[377, 175, 231, 283]",,,0.0,,,0.07,,,0.01,,,0.28,,,0.46,,,0.0,,
0.16,,,"[380, 176, 227, 280]",,,0.0,,,0.08,,,0.01,,,0.41,,,0.34,,,0.0,,
0.15,,,"[380, 175, 228, 281]",,,0.0,,,0.08,,,0.01,,,0.39,,,0.37,,,0.0,,
0.17,,,"[380, 174, 228, 281]",,,0.0,,,0.06,,,0.01,,,0.41,,,0.35,,,0.0,,
0.17,,,"[382, 173, 226, 281]",,,0.0,,,0.06,,,0.0,,,0.41,,,0.36,,,0.0,,
0.25,,,"[383, 164, 231, 289]",,,0.0,,,0.05,,,0.01,,,0.39,,,0.3,,,0.0,,
0.2,,,"[384, 164, 230, 288]",,,0.0,,,0.08,,,0.02,,,0.27,,,0.43,,,0.0,,
0.15,,,"[383, 162, 233, 290]",,,0.0,,,0.06,,,0.04,,,0.31,,,0.44,,,0.0,,
0.14,,,"[380, 159, 236, 290]",,,0.0,,,0.02,,,0.03,,,0.59,,,0.22,,,0.0,,
0.1,,,"[376, 159, 235, 285]",,,0.0,,,0.02,,,0.03,,,0.72,,,0.13,,,0.0,,
