box,angry,disgust,fear,happy,sad,surprise,neutral
"[378, 162, 240, 289]",0.23,0.01,0.06,0.19,0.26,0.2,0.03
"[383, 154, 238, 292]",0.23,0.04,0.11,0.06,0.49,0.02,0.05
"[385, 156, 237, 291]",0.2,0.06,0.13,0.01,0.54,0.0,0.04
"[384, 156, 238, 294]",0.2,0.09,0.11,0.0,0.54,0.0,0.05
"[386, 157, 238, 294]",0.19,0.04,0.1,0.01,0.59,0.0,0.06
"[386, 167, 238, 296]",0.29,0.0,0.07,0.02,0.45,0.0,0.17
"[385, 168, 240, 297]",0.27,0.0,0.05,0.03,0.44,0.0,0.22
"[385, 168, 240, 297]",0.31,0.0,0.04,0.02,0.39,0.0,0.24
"[386, 169, 240, 296]",0.32,0.0,0.04,0.02,0.36,0.0,0.26
"[386, 169, 240, 295]",0.3,0.0,0.04,0.01,0.4,0.0,0.24
"[387, 169, 239, 296]",0.29,0.0,0.04,0.02,0.43,0.0,0.22
"[388, 169, 239, 295]",0.28,0.0,0.04,0.01,0.46,0.0,0.2
"[388, 169, 239, 294]",0.29,0.0,0.04,0.01,0.51,0.0,0.15
"[389, 153, 245, 309]",0.24,0.0,0.03,0.02,0.57,0.0,0.14
"[391, 154, 243, 306]",0.27,0.0,0.04,0.02,0.54,0.0,0.12
"[391, 154, 243, 305]",0.24,0.0,0.05,0.03,0.54,0.0,0.15
"[392, 154, 242, 305]",0.28,0.0,0.05,0.04,0.49,0.0,0.14
"[391, 154, 242, 304]",0.26,0.0,0.05,0.03,0.52,0.0,0.13
"[390, 154, 243, 305]",0.28,0.0,0.05,0.03,0.51,0.0,0.13
"[387, 168, 236, 291]",0.32,0.0,0.03,0.03,0.47,0.0,0.16
"[385, 167, 238, 295]",0.33,0.0,0.03,0.02,0.47,0.0,0.14
"[384, 167, 239, 296]",0.36,0.0,0.04,0.02,0.5,0.0,0.08
"[382, 166, 239, 298]",0.27,0.0,0.05,0.01,0.61,0.0,0.06
"[380, 166, 240, 296]",0.29,0.0,0.05,0.01,0.57,0.0,0.08
"[378, 165, 242, 299]",0.26,0.0,0.06,0.01,0.59,0.0,0.07
"[379, 166, 240, 298]",0.27,0.0,0.05,0.01,0.57,0.0,0.1
"[379, 167, 240, 295]",0.21,0.0,0.04,0.02,0.59,0.0,0.13
"[381, 168, 235, 287]",0.16,0.0,0.04,0.02,0.56,0.0,0.22
"[373, 150, 245, 303]",0.15,0.0,0.05,0.03,0.51,0.0,0.25
"[375, 151, 243, 301]",0.14,0.0,0.05,0.03,0.44,0.0,0.34
"[375, 153, 242, 300]",0.14,0.0,0.04,0.05,0.4,0.0,0.37
"[387, 164, 231, 289]",0.19,0.0,0.03,0.09,0.32,0.0,0.37
"[375, 152, 244, 303]",0.14,0.0,0.03,0.06,0.28,0.0,0.48
"[377, 156, 240, 298]",0.19,0.0,0.03,0.05,0.3,0.0,0.43
"[380, 162, 236, 292]",0.19,0.0,0.04,0.05,0.32,0.0,0.4
"[378, 159, 240, 299]",0.17,0.0,0.04,0.03,0.5,0.0,0.25
"[376, 158, 241, 299]",0.18,0.0,0.04,0.02,0.51,0.0,0.24
"[379, 155, 240, 303]",0.27,0.0,0.06,0.03,0.44,0.0,0.2
"[376, 154, 238, 299]",0.19,0.0,0.06,0.02,0.52,0.0,0.2
"[375, 153, 238, 299]",0.19,0.0,0.06,0.01,0.53,0.0,0.21
"[371, 151, 242, 302]",0.16,0.0,0.07,0.02,0.56,0.0,0.19
"[374, 152, 241, 303]",0.17,0.0,0.05,0.01,0.54,0.0,0.22
"[378, 155, 238, 300]",0.2,0.0,0.07,0.02,0.47,0.0,0.24
"[379, 156, 240, 302]",0.2,0.0,0.08,0.02,0.4,0.0,0.29
"[381, 156, 239, 302]",0.24,0.0,0.07,0.02,0.45,0.0,0.22
"[378, 156, 240, 302]",0.2,0.0,0.08,0.01,0.48,0.0,0.23
"[380, 168, 230, 293]",0.12,0.0,0.04,0.01,0.48,0.0,0.36
"[383, 171, 229, 290]",0.17,0.0,0.04,0.01,0.44,0.0,0.35
"[382, 171, 231, 292]",0.18,0.0,0.03,0.01,0.45,0.0,0.33
"[382, 172, 230, 289]",0.15,0.0,0.04,0.01,0.43,0.0,0.37
"[383, 170, 230, 291]",0.17,0.0,0.05,0.01,0.35,0.0,0.42
"[382, 171, 230, 289]",0.15,0.0,0.05,0.01,0.39,0.0,0.4
"[383, 172, 230, 288]",0.15,0.0,0.06,0.01,0.37,0.0,0.41
"[383, 173, 229, 288]",0.19,0.0,0.05,0.01,0.4,0.0,0.35
"[377, 175, 231, 283]",0.18,0.0,0.07,0.01,0.46,0.0,0.28
"[380, 176, 227, 280]",0.16,0.0,0.08,0.01,0.34,0.0,0.41
"[380, 175, 228, 281]",0.15,0.0,0.08,0.01,0.37,0.0,0.39
"[380, 174, 228, 281]",0.17,0.0,0.06,0.01,0.35,0.0,0.41
"[382, 173, 226, 281]",0.17,0.0,0.06,0.0,0.36,0.0,0.41
"[383, 164, 231, 289]",0.25,0.0,0.05,0.01,0.3,0.0,0.39
"[384, 164, 230, 288]",0.2,0.0,0.08,0.02,0.43,0.0,0.27
"[383, 162, 233, 290]",0.15,0.0,0.06,0.04,0.44,0.0,0.31
"[380, 159, 236, 290]",0.14,0.0,0.02,0.03,0.22,0.0,0.59
"[376, 159, 235, 285]",0.1,0.0,0.02,0.03,0.13,0.0,0.72
"[375, 164, 233, 283]",0.17,0.0,0.03,0.05,0.2,0.0,0.54
"[372, 152, 240, 294]",0.09,0.0,0.03,0.04,0.26,0.0,0.57
"[374, 152, 241, 299]",0.1,0.0,0.05,0.02,0.46,0.0,0.37
"[374, 153, 241, 300]",0.14,0.0,0.06,0.03,0.55,0.01,0.22
"[377, 166, 233, 289]",0.19,0.0,0.03,0.01,0.6,0.0,0.18
"[377, 155, 237, 298]",0.11,0.0,0.06,0.03,0.35,0.0,0.45
"[376, 158, 237, 291]",0.16,0.0,0.03,0.02,0.17,0.0,0.63
"[379, 161, 235, 288]",0.15,0.0,0.02,0.01,0.18,0.0,0.64
"[380, 161, 235, 291]",0.12,0.0,0.01,0.01,0.1,0.0,0.76
"[381, 162, 236, 293]",0.09,0.0,0.04,0.02,0.22,0.0,0.63
"[385, 164, 233, 289]",0.12,0.0,0.04,0.01,0.2,0.0,0.62
"[384, 167, 231, 287]",0.09,0.0,0.05,0.02,0.19,0.0,0.64
"[385, 165, 233, 287]",0.12,0.0,0.05,0.02,0.17,0.0,0.64
"[386, 165, 232, 288]",0.07,0.0,0.06,0.02,0.16,0.0,0.69
"[386, 171, 229, 282]",0.11,0.0,0.07,0.02,0.19,0.0,0.62
"[384, 163, 236, 296]",0.14,0.0,0.07,0.02,0.19,0.0,0.58
"[381, 165, 238, 297]",0.19,0.0,0.09,0.01,0.35,0.01,0.35
"[387, 168, 230, 289]",0.25,0.0,0.09,0.01,0.39,0.01,0.24
"[389, 172, 236, 290]",0.23,0.0,0.08,0.01,0.45,0.0,0.23
"[393, 173, 230, 284]",0.25,0.0,0.09,0.01,0.33,0.0,0.32
"[396, 174, 228, 280]",0.21,0.0,0.08,0.0,0.42,0.0,0.3
"[399, 174, 224, 275]",0.17,0.0,0.07,0.0,0.37,0.0,0.39
"[398, 173, 227, 276]",0.16,0.0,0.05,0.0,0.33,0.0,0.46
"[397, 172, 229, 277]",0.19,0.0,0.05,0.0,0.37,0.0,0.4
"[397, 172, 229, 272]",0.2,0.0,0.06,0.0,0.31,0.0,0.43
"[396, 170, 231, 270]",0.16,0.0,0.11,0.0,0.28,0.0,0.44
"[396, 170, 232, 269]",0.14,0.0,0.13,0.0,0.27,0.0,0.46
"[396, 170, 232, 269]",0.13,0.0,0.13,0.0,0.27,0.0,0.47
"[397, 170, 231, 269]",0.13,0.0,0.14,0.0,0.26,0.0,0.48
"[397, 170, 232, 268]",0.11,0.0,0.15,0.0,0.27,0.0,0.46
"[397, 170, 232, 269]",0.12,0.0,0.14,0.0,0.25,0.0,0.48
"[397, 170, 232, 268]",0.13,0.0,0.15,0.0,0.26,0.0,0.47
"[398, 170, 231, 268]",0.14,0.0,0.15,0.0,0.26,0.0,0.45
"[398, 170, 231, 267]",0.14,0.0,0.14,0.0,0.3,0.0,0.42
"[397, 170, 232, 267]",0.15,0.0,0.14,0.0,0.3,0.0,0.42
"[398, 170, 232, 267]",0.16,0.0,0.13,0.0,0.29,0.0,0.42
"[397, 169, 233, 269]",0.18,0.0,0.13,0.0,0.31,0.0,0.38
"[397, 170, 232, 268]",0.17,0.0,0.12,0.0,0.31,0.0,0.39
"[397, 170, 232, 268]",0.18,0.0,0.11,0.0,0.31,0.0,0.4
"[397, 169, 232, 269]",0.16,0.0,0.11,0.0,0.3,0.0,0.42
"[398, 169, 231, 270]",0.17,0.0,0.1,0.0,0.29,0.0,0.43
"[398, 169, 233, 272]",0.19,0.0,0.08,0.0,0.35,0.0,0.38
"[399, 169, 231, 273]",0.2,0.0,0.1,0.0,0.35,0.0,0.34
"[399, 170, 232, 275]",0.13,0.0,0.08,0.0,0.41,0.0,0.37
"[399, 167, 235, 281]",0.15,0.0,0.06,0.0,0.49,0.0,0.3
"[398, 165, 240, 289]",0.2,0.0,0.07,0.0,0.51,0.0,0.22
"[399, 164, 241, 292]",0.23,0.0,0.07,0.0,0.44,0.01,0.25
"[400, 163, 241, 291]",0.22,0.0,0.06,0.0,0.43,0.01,0.28
"[402, 162, 239, 290]",0.19,0.0,0.06,0.0,0.48,0.0,0.27
"[402, 162, 240, 288]",0.2,0.0,0.08,0.0,0.43,0.0,0.28
"[406, 162, 235, 283]",0.21,0.0,0.17,0.0,0.37,0.0,0.25
"[408, 161, 233, 283]",0.2,0.0,0.18,0.0,0.36,0.0,0.26
"[409, 159, 233, 283]",0.18,0.0,0.16,0.0,0.35,0.0,0.31
"[410, 158, 232, 284]",0.16,0.0,0.19,0.0,0.36,0.0,0.29
"[410, 155, 237, 285]",0.14,0.0,0.19,0.0,0.37,0.0,0.3
"[410, 155, 234, 286]",0.24,0.0,0.1,0.0,0.38,0.0,0.28
"[412, 153, 233, 285]",0.25,0.0,0.07,0.0,0.4,0.0,0.27
"[409, 144, 249, 301]",0.23,0.0,0.06,0.01,0.28,0.0,0.42
"[413, 146, 245, 294]",0.27,0.0,0.06,0.01,0.28,0.0,0.38
"[414, 143, 238, 288]",0.14,0.0,0.14,0.01,0.44,0.0,0.27
"[418, 152, 231, 287]",0.18,0.0,0.1,0.01,0.31,0.0,0.4
"[417, 152, 234, 290]",0.24,0.0,0.08,0.01,0.24,0.0,0.42
"[417, 153, 233, 290]",0.24,0.0,0.1,0.01,0.29,0.0,0.37
"[413, 144, 248, 301]",0.44,0.0,0.07,0.01,0.24,0.01,0.24
"[410, 142, 251, 306]",0.39,0.0,0.08,0.01,0.2,0.01,0.31
"[411, 143, 251, 305]",0.38,0.0,0.09,0.01,0.18,0.01,0.34
"[414, 145, 241, 298]",0.31,0.0,0.1,0.01,0.25,0.0,0.33
"[422, 153, 237, 291]",0.26,0.0,0.12,0.01,0.24,0.0,0.37
"[421, 150, 238, 289]",0.25,0.0,0.13,0.0,0.22,0.0,0.39
"[421, 143, 241, 286]",0.17,0.0,0.13,0.0,0.26,0.0,0.43
"[422, 143, 239, 285]",0.21,0.0,0.11,0.0,0.28,0.0,0.39
"[419, 143, 240, 284]",0.23,0.0,0.13,0.0,0.26,0.0,0.37
"[417, 146, 239, 284]",0.19,0.0,0.14,0.0,0.3,0.0,0.37
"[409, 149, 240, 291]",0.11,0.0,0.05,0.0,0.13,0.0,0.71
"[401, 152, 241, 284]",0.22,0.0,0.04,0.01,0.12,0.0,0.62
"[404, 153, 232, 283]",0.21,0.0,0.07,0.0,0.12,0.0,0.6
"[398, 154, 232, 286]",0.3,0.0,0.06,0.01,0.13,0.0,0.51
"[397, 161, 232, 283]",0.28,0.0,0.12,0.01,0.12,0.0,0.47
"[393, 160, 235, 286]",0.31,0.0,0.09,0.01,0.17,0.0,0.42
"[386, 158, 238, 286]",0.35,0.0,0.11,0.01,0.25,0.01,0.28
"[373, 152, 245, 307]",0.29,0.0,0.03,0.02,0.36,0.0,0.3
"[367, 153, 246, 302]",0.19,0.0,0.05,0.03,0.34,0.01,0.37
"[353, 153, 249, 287]",0.12,0.0,0.14,0.03,0.34,0.01,0.35
"[348, 154, 248, 284]",0.18,0.0,0.13,0.02,0.4,0.02,0.26
"[344, 153, 241, 277]",0.09,0.0,0.18,0.03,0.39,0.01,0.3
"[344, 166, 236, 262]",0.21,0.0,0.19,0.04,0.32,0.01,0.23
"[328, 153, 239, 265]",0.07,0.0,0.19,0.11,0.35,0.01,0.27
"[327, 160, 240, 264]",0.11,0.0,0.16,0.06,0.29,0.03,0.35
"[322, 160, 239, 263]",0.07,0.0,0.13,0.12,0.3,0.04,0.33
"[327, 173, 236, 255]",0.09,0.0,0.25,0.03,0.25,0.04,0.33
"[325, 171, 239, 258]",0.05,0.0,0.27,0.06,0.23,0.04,0.35
"[325, 170, 241, 260]",0.04,0.0,0.23,0.08,0.26,0.03,0.36
"[324, 156, 241, 265]",0.03,0.0,0.1,0.29,0.09,0.05,0.44
"[329, 155, 241, 267]",0.02,0.0,0.1,0.26,0.1,0.03,0.48
"[333, 155, 239, 261]",0.03,0.0,0.11,0.16,0.17,0.08,0.46
"[333, 152, 251, 271]",0.06,0.0,0.1,0.13,0.14,0.04,0.54
"[335, 152, 241, 260]",0.02,0.0,0.1,0.09,0.18,0.05,0.57
"[336, 149, 250, 269]",0.02,0.0,0.15,0.1,0.12,0.04,0.57
"[340, 153, 239, 261]",0.01,0.0,0.18,0.17,0.13,0.04,0.46
"[335, 150, 249, 270]",0.03,0.0,0.18,0.1,0.12,0.07,0.5
"[335, 165, 249, 265]",0.11,0.0,0.35,0.03,0.19,0.13,0.18
"[334, 167, 248, 263]",0.12,0.0,0.37,0.03,0.18,0.11,0.2
"[335, 168, 245, 260]",0.12,0.0,0.43,0.02,0.11,0.16,0.16
"[339, 176, 245, 257]",0.14,0.0,0.58,0.01,0.07,0.11,0.09
"[338, 178, 243, 262]",0.13,0.0,0.63,0.0,0.11,0.05,0.06
"[337, 156, 239, 261]",0.06,0.0,0.31,0.04,0.41,0.05,0.14
"[339, 159, 236, 258]",0.04,0.0,0.21,0.02,0.59,0.04,0.1
"[340, 176, 248, 263]",0.03,0.0,0.61,0.01,0.31,0.01,0.04
"[337, 171, 252, 264]",0.05,0.0,0.58,0.01,0.25,0.02,0.09
"[342, 154, 243, 271]",0.07,0.0,0.16,0.12,0.37,0.02,0.25
"[340, 151, 244, 271]",0.04,0.0,0.12,0.1,0.39,0.04,0.32
"[342, 156, 234, 261]",0.02,0.0,0.15,0.24,0.28,0.03,0.28
"[347, 167, 236, 258]",0.13,0.0,0.25,0.12,0.24,0.03,0.23
"[349, 159, 240, 271]",0.07,0.0,0.16,0.08,0.18,0.02,0.49
"[348, 157, 240, 267]",0.05,0.0,0.1,0.25,0.2,0.03,0.37
"[348, 156, 239, 270]",0.07,0.0,0.11,0.13,0.23,0.02,0.44
"[350, 156, 238, 269]",0.07,0.0,0.07,0.16,0.2,0.01,0.49
"[352, 165, 233, 269]",0.37,0.0,0.21,0.08,0.12,0.02,0.2
"[351, 156, 245, 279]",0.15,0.0,0.29,0.06,0.19,0.02,0.3
"[352, 157, 243, 278]",0.16,0.0,0.28,0.05,0.16,0.02,0.32
"[350, 154, 244, 279]",0.22,0.0,0.1,0.04,0.19,0.02,0.43
"[351, 153, 245, 280]",0.17,0.0,0.1,0.05,0.24,0.02,0.43
"[354, 151, 242, 281]",0.18,0.0,0.17,0.05,0.2,0.03,0.37
"[355, 152, 241, 281]",0.11,0.0,0.17,0.06,0.28,0.01,0.37
"[355, 152, 242, 282]",0.12,0.0,0.2,0.08,0.23,0.02,0.35
"[355, 151, 242, 283]",0.09,0.0,0.18,0.07,0.28,0.02,0.37
"[356, 151, 242, 284]",0.1,0.0,0.2,0.08,0.23,0.03,0.37
"[356, 151, 244, 285]",0.13,0.0,0.28,0.06,0.18,0.03,0.32
